time,X,N,G,F,E,Temp
18.4,0.8019159294040713,0.11441001045495197,92.63021994559963,104.93801729093754,12.164840724745492,293.1500001136023
18.5,0.8038329264206661,0.11424752835700709,92.55852070874168,104.91273736871432,12.21575115901277,293.1500001255499
18.6,0.8057526858804899,0.11408481211807638,92.48687906898944,104.88744700427185,12.26662981676667,293.15000013875414
18.7,0.807675201323524,0.11392186228570235,92.41529426354954,104.86214607292665,12.31747726704059,293.15000015334704
18.8,0.8096004662195982,0.11375867941337352,92.34376553874971,104.83683445202342,12.368294072662103,293.1500001694747
18.9,0.8115284739683903,0.1135952640605243,92.2722921500386,104.81151202093493,12.419080790252941,293.1500001872985
19.0,0.8134592178994269,0.11343161679253513,92.20087336198594,104.78617866106215,12.46983797022902,293.1500002069969
19.1,0.8153926912720824,0.11326773818073235,92.12950844828248,104.76083425583414,12.520566156800413,293.1500002287669
19.2,0.8173288872755797,0.1131036288023883,92.05819669173994,104.73547869070812,12.571265887971366,293.15000025282654
19.3,0.8192677990289905,0.11293928924072129,91.98693738429108,104.71011185316945,12.621937695540298,293.15000027941653
19.4,0.8212094195812343,0.11277472008489557,91.91572982698972,104.68473363273162,12.672582105099792,293.15000030880304
19.5,0.823153741911079,0.11260992193002131,91.84457333001062,104.65934392093624,12.72319963603661,293.15000034128013
19.6,0.8251007589271413,0.11244489537715474,91.7734672126496,104.63394261135309,12.773790801531671,293.1500003771729
19.7,0.8270504634678855,0.11227964103329796,91.70241080332352,104.60852959958007,12.824356108560071,293.1500004168405
19.8,0.829002848301625,0.11211415951139905,91.6314034395702,104.58310478324321,12.87489605789108,293.15000046067996
19.9,0.8309579061265209,0.11194845143035212,91.56044446804852,104.5576680619967,12.925411144088125,293.1500005091301
20.0,0.8329156295705831,0.11178251741499713,91.48953324453836,104.53221933752283,12.975901855508813,293.1500005626758
20.1,0.8348760111916695,0.1116163580961201,91.41866913394061,104.50675851353206,13.026368674304917,293.15000062185294
20.2,0.8368390434774867,0.11144997411045293,91.34785151027721,104.481285495763,13.076812076422378,293.15000068725374
20.3,0.8388047188455893,0.11128336610067355,91.27707975669107,104.45580019198235,13.12723253160131,293.1500007595329
20.4,0.8407730296433804,0.1111165347154058,91.20635326544615,104.43030251198495,13.177630503375992,293.1500008394136
20.5,0.8427439681481115,0.11094948060921948,91.13567143792743,104.40479236759384,13.22800644907488,293.1500009276955
20.6,0.8447175265668823,0.11078220444263043,91.06503368464087,104.37926967266012,13.278360819820593,293.15000102526204
20.7,0.8466936970366408,0.11061470688210034,90.99443942521349,104.3537343430631,13.328694060529918,293.1500011330898
20.8,0.8486724716241836,0.11044698860003693,90.9238880883933,104.32818629671013,13.379006609913818,293.1500012522578
20.9,0.8506538423261553,0.11027905027479386,90.85337911204934,104.3026254535368,13.429298900477422,293.1500013839589
21.0,0.8526378010690492,0.11011089259067075,90.78291194317167,104.27705173550679,13.47957135852003,293.1500015295111
21.1,0.8546243397092066,0.1099425162379132,90.71248603787133,104.25146506661191,13.52982440413511,293.15000169037114
21.2,0.8566134500328174,0.10977392191271274,90.64210086138044,104.22586537287214,13.580058451210299,293.150001868149
21.3,0.8586051237559198,0.10960511031720686,90.5717558880521,104.20025258233552,13.630273907427407,293.15000206462383
21.4,0.860599352035102,0.10943608156941102,90.50145074365952,104.17462665601282,13.680471071785991,293.1500022817621
21.5,0.8625961258912088,0.10926683584698205,90.43118506557869,104.14898755787934,13.730650235202965,293.150002521737
21.6,0.8645954383130048,0.10909737575965607,90.36095790636699,104.1233351249254,13.78081210994008,293.15000278695027
21.7,0.8665972806314765,0.10892770194500768,90.2907687929457,104.0976692972647,13.830957066935486,293.1500030800562
21.8,0.8686016441074872,0.1087578150542925,90.22061725704638,104.07199001622465,13.881085473955267,293.1500034039883
21.9,0.8706085199317765,0.10858771575244718,90.15050283521097,104.04629722434629,13.931197695593397,293.15000376198867
22.0,0.87261789922496,0.10841740471808943,90.08042506879171,104.02059086538426,13.981294093271769,293.1500041576401
22.1,0.8746297730375301,0.10824688264351802,90.01038350395118,103.99487088430689,14.031375025240177,293.15000459490255
22.2,0.8766441323498546,0.1080761502347127,89.94037769166219,103.9691372272961,14.08144084657632,293.15000507815216
22.3,0.8786609680721786,0.10790520821133434,89.87040718770798,103.94338984174746,14.131491909185817,293.1500056122255
22.4,0.8806802710446231,0.10773405730672482,89.8004715526821,103.91762867627017,14.181528561802184,293.1500062024677
22.5,0.8827020320371851,0.107562698267907,89.73057035198835,103.89185368068708,14.231551149986853,293.150006854786
22.6,0.8847262417497382,0.10739113185558488,89.6607031558409,103.86606480603466,14.281560016129157,293.1500075757091
22.7,0.8867528908120325,0.10721935884414346,89.59086953926425,103.84026200456304,14.33155549944634,293.150008372452
22.8,0.888781969783694,0.10704738002164876,89.52106908209318,103.81444522973598,14.381537935983557,293.15000925298887
22.9,0.8908134691542249,0.10687519618984787,89.45130136897284,103.78861443623084,14.431507658613864,293.15001022613217
23.0,0.8928473793430044,0.10670280816416892,89.38156598935868,103.76276957993869,14.481464997038238,293.1500113016215
23.1,0.8948836906992875,0.10653021677372108,89.31186253751645,103.73691061796416,14.531410277785549,293.15001249022043
23.2,0.896922393502205,0.10635742286129456,89.24219061252224,103.71103750862554,14.58134382421258,293.1500138038247
23.3,0.8989634779607654,0.10618442728336061,89.17254981826248,103.68515021145478,14.63126595650403,293.1500152555812
23.4,0.9010069342138519,0.10601123091007152,89.1029397634339,103.65924868719745,14.681176991672494,293.1500168600193
23.5,0.9030527523302251,0.1058378346252606,89.03336006154353,103.63333289781275,14.731077243558484,293.1500186331964
23.6,0.9051009223085216,0.10566423932644227,88.96381033090879,103.60740280647353,14.780967022830419,293.1500205928587
23.7,0.9071514340772542,0.10549044592481192,88.89429019465733,103.58145837756628,14.830846636984619,293.1500227586187
23.8,0.9092042774948119,0.10531645534524603,88.82479928072719,103.55549957669109,14.88071639034532,293.1500251521515
23.9,0.9112594423494601,0.10514226852630208,88.75533722186671,103.52952637066171,14.930576584064662,293.15002779741167
24.0,0.9133169183593407,0.10496788642021862,88.68590365563455,103.50353872750557,14.980427516122694,293.15003072087296
24.1,0.9153766951724718,0.10479330999291524,88.61649822439968,103.47753661646364,15.030269481327373,293.1500339517935
24.2,0.9174387623667475,0.10461854022399257,88.54712057534141,103.45152000799061,15.080102771314566,293.15003752250794
24.3,0.9195031094499386,0.10444357810673227,88.47777036044937,103.42548887375479,15.129927674548044,293.15004146875185
24.4,0.921569725859692,0.10426842464809707,88.40844723652349,103.39944318663808,15.17974447631949,293.1500458300186
24.5,0.9236386009635309,0.1040930808687307,88.33915086517403,103.37338292073606,15.229553458748493,293.1500506499549
24.6,0.9257097240588549,0.10391754780295796,88.2698809128216,103.34730805135796,15.27935490078255,293.1500559767975
24.7,0.9277830843729395,0.10374182649878472,88.20063705069711,103.32121855502659,15.329149078197068,293.15006186385585
24.8,0.9298586710629374,0.1035659180178978,88.13141895484176,103.29511440947843,15.378936263595358,293.1500683700454
24.9,0.9319364732158765,0.10338982343566518,88.06222630610714,103.2689955936636,15.428716726408643,293.1500755604772
25.0,0.9340164798486619,0.10321354384113578,87.99305879015508,103.24286208774589,15.478490732896056,293.15008350710923
25.1,0.9360986799080744,0.10303708033703962,87.92391609745779,103.21671387310262,15.52825854614463,293.15009228946644
25.2,0.9381830622707712,0.10286043403978776,87.85479792329781,103.19055093232485,15.578020426069308,293.1501019954364
25.3,0.9402696157432863,0.10268360607947226,87.78570396776793,103.16437324921725,15.627776629412953,293.1501127221482
25.4,0.9423583290620292,0.10250659759986627,87.71663393577133,103.13818080879808,15.677527409746318,293.1501245769447
25.5,0.9444491908932865,0.10232940975842396,87.64758753702151,103.1119735972993,15.727273017468082,293.15013767845556
25.6,0.9465421898332202,0.10215204372628053,87.57856448604221,103.08575160216647,15.777013699804817,293.1501521577845
25.7,0.9486373144078697,0.10197450068825226,87.50956450216762,103.0595148120588,15.826749700811007,293.15016815982017
25.8,0.9507345530731498,0.10179678184283644,87.44058730954212,103.03326321684911,15.876481261369054,293.1501858446855
25.9,0.9528338942148518,0.1016188884022114,87.37163263712053,103.0069968076239,15.926208619189254,293.1502053893388
26.0,0.9549351603560878,0.10144078123374498,87.30270895973514,102.98071984988279,15.975922538627637,293.1502269893435
26.1,0.9570384149750073,0.10126247975210209,87.23381211531911,102.95443041845867,16.02562748615562,293.1502508608234
26.2,0.959143823805685,0.10108402849588947,87.16493248559341,102.92812393136131,16.075333832859716,293.1502772426236
26.3,0.9612513640205873,0.1009054262253119,87.09607036942786,102.90180065837589,16.125041203580153,293.15030639869804
26.4,0.9633610133720177,0.10072667190075338,87.02722603690484,102.87546085422923,16.17474925593505,293.1503386207481
26.5,0.9654727501921166,0.10054776468277701,86.95839972931924,102.84910475858985,16.22445768032043,293.1503742311375
26.6,0.9675865533928616,0.1003687039321252,86.88959165917848,102.82273259606788,16.27416619991023,293.1504135861142
26.7,0.969702402466067,0.10018948920971948,86.82080201020251,102.79634457621518,16.32387457065628,293.15045707936923
26.8,0.9718202774833847,0.10001012027666055,86.75203093732382,102.76994089352524,16.373582581288325,293.15050514596953
26.9,0.9739401590963032,0.09983059709422837,86.68327856668745,102.74352172743326,16.423290053314002,293.1505582667031
27.0,0.9760620285361482,0.09965091982388198,86.61454499565089,102.71708724231601,16.47299684101887,293.1506169728799
27.1,0.9781858676140824,0.0994710888272597,86.54583029278425,102.69063758749202,16.522702831466376,293.1506818516354
27.2,0.9803116587211055,0.09929110466617905,86.47713449787008,102.66417289722142,16.572407944497876,293.1507535517903
27.3,0.9824393848280543,0.09911096810263662,86.40845762190355,102.63769329070608,16.62211213273264,293.1508327903239
27.4,0.9845690294856027,0.0989306800988083,86.33979964709229,102.61119887208945,16.67181538156782,293.1509203595248
27.5,0.9867005768242616,0.09875024181704913,86.27116052685648,102.5846897304567,16.721517709178507,293.15101713489025
27.6,0.9888340115543791,0.09856965461989334,86.20254018582884,102.55816593983467,16.771219166517664,293.15112408385113
27.7,0.9909693189661398,0.09838892007005431,86.1339385198546,102.53162755919182,16.820919837316172,293.1512422754092
27.8,0.993106484929566,0.09820803993042469,86.06535539599155,102.50507463243832,16.870619838082817,293.15137289078046
27.9,0.9952454958945165,0.09802701616407625,85.99679065250996,102.47850718842601,16.920319318104287,293.1515172351501
28.0,0.9973863388906877,0.09784585093425995,85.92824409889268,102.45192524094833,16.97001845944518,293.1516767506523
28.1,0.9995290015276126,0.09766454660440596,85.85971551583502,102.42532878874046,17.019717476947985,293.15185303070314
28.2,1.0016734719946614,0.09748310573812366,85.79120465524491,102.39871781547922,17.069416618233113,293.15204783582493
28.3,1.0038197390610413,0.09730153109920155,85.72271124024275,102.37209228978307,17.119116163698866,293.15226311111616
28.4,1.0059677920757966,0.09711982565160737,85.65423496516145,102.34545216521215,17.168816426521456,293.1525010055354
28.5,1.0081176209678084,0.09693799255948804,85.58577549554651,102.31879738026832,17.218517752655,293.1527638931846
